;name;normal_name;description;link
17;cholesterin_labor;Cholesterol;Cholesterol is any of a class of certain organic molecules called lipids. It is a sterol (or modified steroid), a type of lipid. Cholesterol is biosynthesized by all animal cells and is an essential structural component of animal cell membranes. When chemically isolated, it is a yellowish crystalline solid.;
18;cl_bga;???;???;???
19;direkter_vasodilatator_med;Direct vasodilators;Direct vasodilators are strong medications that generally are used only when other medications haven't controlled blood pressure adequately.;https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/in-depth/high-blood-pressure-medication/art-20048154#:~:text=Direct%20vasodilators%20are%20strong%20medications,Rapid%20heartbeat%20(tachycardia)
20;evb_labor;???;???;???
21;eosinophile_labor;Eosinophilic cellulitis;Eosinophilic cellulitis is a skin disease that presents with painful, red, raised, and warm patches of skin.[2] The rash comes on suddenly, lasts for a few weeks, and often repeatedly comes back.;https://en.wikipedia.org/wiki/Eosinophilic_cellulitis
22;erythrocyten_labor;Erythrocytes;Erythrocytes (red blood cells or RBCs) are anucleate, biconcave cells, filled with hemoglobin, that transport oxygen and carbon dioxide between the lungs and tissues.;https://www.kenhub.com/en/library/anatomy/erythrocytes
23;fcohb_bga;Fraction of oxygenated haemoglobin;The fraction of oxygenated haemoglobin is a parameter which is calculated from values directly measured by absorption spectrophotometry. It is expressed as;https://derangedphysiology.com/main/cicm-primary-exam/required-reading/respiratory-system/Chapter%201112/fraction-oxygenated-haemoglobin
24;fio2_vital;Fraction of inspired oxygen;Fraction of inspired oxygen is the molar or volumetric fraction of oxygen in the inhaled gas.;https://en.wikipedia.org/wiki/Fraction_of_inspired_oxygen
25;freq_gesamt_vital;???;???;???
26;freq_spontan_vital;???;???;???
27;gcs_auge_vital;Glasgow Coma Scale Eye Response;The Glasgow Coma Scale is a clinical scale used to reliably measure a person's level of consciousness after a brain injury. This is the Eye Response Test.;https://en.wikipedia.org/wiki/Glasgow_Coma_Scale
28;gcs_motor_vital;Glasgow Coma Scale Motor Response;The Glasgow Coma Scale is a clinical scale used to reliably measure a person's level of consciousness after a brain injury. This is the Motor Response Test.;https://en.wikipedia.org/wiki/Glasgow_Coma_Scale
29;gcs_total_vital;Glasgow Coma Scale ;The Glasgow Coma Scale is a clinical scale used to reliably measure a person's level of consciousness after a brain injury.;https://en.wikipedia.org/wiki/Glasgow_Coma_Scale
30;gcs_verbal_vital;Glasgow Coma Scale Verbal Response;The Glasgow Coma Scale is a clinical scale used to reliably measure a person's level of consciousness after a brain injury. This is the Verbal Response Test.;https://en.wikipedia.org/wiki/Glasgow_Coma_Scale
31;glu_bga;Glucose Blood sugar;Glycaemia, also known as blood sugar level, blood sugar concentration, or blood glucose level is the measure of glucose concentrated in the blood of humans.;https://en.wikipedia.org/wiki/Blood_sugar_level
32;hco3_bga;Bicarbonate;blood bicarbonate (plasma bicarbonate) the bicarbonate of the blood plasma, an important parameter of acid-base balance measured in blood gas analysis.;https://medical-dictionary.thefreedictionary.com/bicarbonate
33;hf_vital;???;???;???
34;harnstoff_n_labor;Blood urea nitrogen;the blood urea nitrogen (BUN) test reveals important information about how well your kidneys are working. A BUN test measures the amount of urea nitrogen that's in your blood.;https://www.mayoclinic.org/tests-procedures/blood-urea-nitrogen/about/pac-20384821
35;hb_bga_bga;Hemoglobin;A hemoglobin test measures the amount of hemoglobin in your blood. Hemoglobin is a protein in your red blood cells that carries oxygen to your body's organs and tissues and transports carbon dioxide from your organs and tissues back to your lungs.;https://www.mayoclinic.org/tests-procedures/hemoglobin-test/about/pac-20385075
36;hk_labor;???;???;???
37;icp_vital;Increased Intracranial Pressure;Increased intracranial pressure  is a rise in pressure around your brain;https://www.hopkinsmedicine.org/health/conditions-and-diseases/headache/increased-intracranial-pressure-icp-headache
38;inr_labor;International normalised ratio ;An INR test measures the time for the blood to clot.;https://www.healthdirect.gov.au/international-normalised-ratio-INR-test
39;k_bga;???;???;???
40;katecholamin_med;Catecholamines;Catecholamines are hormones that the brain, nerve tissues, and adrenal glands produce. The body releases catecholamines in response to emotional or physical stress.;https://www.medicalnewstoday.com/articles/catecholamines
41;kreatinin_labor;Creatinine;Creatinine is a waste product that comes from the normal wear and tear on muscles of the body. Everyone has creatinine in their bloodstream.;https://www.kidney.org/atoz/content/what-creatinine
42;ldh_labor;Lactate dehydrogenase;Lactate dehydrogenase is an important enzyme that helps with cellular respiration, the process through which your body transforms glucose (sugar) from the food you eat into energy for your cells.;https://my.clevelandclinic.org/health/diagnostics/22736-lactate-dehydrogenase-ldh-test
43;lac_bga;???;???;???
44;leukocyten_labor;Leukocytes;Leukocytes are the major cellular components of the inflammatory and immune system. While they only make up about 1 percent of the blood in the body, leukocytes play an important role in protecting the body from infections/diseases caused by various microorganisms (e.g. bacteria, amoeba etc) and other types of parasites (filarial worms etc).;https://www.microscopemaster.com/leukocytes.html
45;lipase_labor;Lipase;Lipase is a type of protein made by your pancreas, an organ located near your stomach. Lipase helps your body digest fats.;https://medlineplus.gov/lab-tests/lipase-tests/
46;lymphocyten_labor;Lymphocytes;Lymphocytes are white blood cells and one of the body’s main types of immune cells. They are made in the bone marrow and found in the blood and lymph tissue.;https://www.medicalnewstoday.com/articles/320987
47;mchc_labor;Mean corpuscular hemoglobin concentration;Measures the concentration of hemoglobin in a given volume of red blood cells. Or a more accurate definition is that MCHC expresses the average weight of hemoglobin per unit volume of red blood cell.;https://www.healthyandnaturalworld.com/mchc-blood-test/
48;mch_labor;Mean corpuscular hemoglobin;MCH value refers to the average quantity of hemoglobin present in a single red blood cell.;https://www.healthline.com/health/mch
49;mcv_labor;Mean Corpuscular Volume;MCV stands for mean corpuscular volume. An MCV blood test measures the average size of your red blood cells.;https://medlineplus.gov/lab-tests/mcv-mean-corpuscular-volume/
50;magnesium_labor;Magnesium;A magnesium blood test measures the amount of magnesium in your blood. Magnesium is a type of electrolyte. Electrolytes are electrically charged minerals that are responsible for many important functions and processes in your body.;https://medlineplus.gov/lab-tests/magnesium-blood-test/
51;monocyten_labor;Monocytes;Monocytes are a type of white blood cell in your immune system. Monocytes turn into macrophage or dendritic cells when an invading germ or bacteria enters your body. The cells either kill the invader or alert other blood cells to help destroy it and prevent infection.;https://my.clevelandclinic.org/health/body/22110-monocytes
52;na_bga;???;???;???
53;narkotikum_med;Narkotikum;???;???
54;neutrophile_labor;Neutrophils;Neutrophils are a type of white blood cell that help heals damaged tissues and resolves infections. Neutrophil levels can increase or decrease in response to infections, injuries, drug treatments, certain genetic conditions, and stress.;https://www.medicalnewstoday.com/articles/323982
55;opioid_med;Opioids;Opioids are a class of drugs naturally found in the opium poppy plant and that work in the brain to produce a variety of effects, including the relief of pain with many of these drugs.;https://www.hopkinsmedicine.org/opioids/what-are-opioids.html
56;pco2_bga;Partial pressure of carbon dioxide;Measurement of pco2 in the systemic circulation indicates the effectiveness of ventilation at the lungs' alveoli, given the diffusing capacity of the gas. It is a good indicator of respiratory function and the closely related factor of acid–base homeostasis, reflecting the amount of acid in the blood (without lactic acid). ;
57;peep_vital;Positive End-Expiratory Pressure;Positive end-expiratory pressure (PEEP) is a value that can be set up in patients receiving invasive or non-invasive mechanical ventilation. This activity reviews the indications, contraindications, complications, and other key elements of the use of PEEP in the clinical setting as relates to the essential points needed by members of an interprofessional team managing the care of patients requiring assisted ventilation.;https://www.ncbi.nlm.nih.gov/books/NBK441904/
58;po2_bga;Partial pressure of Oxygen;The concentration of OXYGEN in the blood. This commonly measured parameter is an important indicator of the efficiency with which oxygen is transferred from atmosphere to blood.;https://medical-dictionary.thefreedictionary.com/Po2
59;phosphat_labor;Phosphate;Phosphorus is an essential mineral which plays a role in many functions of the body, including the structure of bone and teeth, muscle, and nerve conductions, filtering waste out of the body, DNA and RNA synthesis, and balancing the use of certain vitamins.;https://www.verywellhealth.com/the-health-benefits-of-phosphate-4584200
60;pmean_vital;Mean airway pressure;Mean airway pressure (Pmean) is a common pressure monitoring parameter of mechanical ventilators that is closely correlated with mean alveolar pressure and represents stresses applied to the lung parenchyma during ventilation.;https://www.sciencedirect.com/science/article/pii/S2667100X21000116
61;ppeak_vital;Peak inspiratory pressure;Peak inspiratory pressure is the highest level of pressure applied to the lungs during inhalation;https://healthjade.net/peak-inspiratory-pressure/
62;pupille_li_vital;???;???;???
63;pupille_re_vital;???;???;???
64;rass_vital;Richmond Agitation-Sedation Scale;Richmond Agitation-Sedation Scale (RASS) is a medical scale used to measure the agitation or sedation level of a person.;https://en.wikipedia.org/wiki/Richmond_Agitation-Sedation_Scale
65;sbe_bga;Standard Base Excess;"Standard base excess is the concentration of titrable base when the blood is titrated back to a normal plasma pH of 7.40, at a normal pCO2 ( 40 mmHg) and 37° C, at the actual oxygen saturation, AND at an ""anaemic"" haemoglobin concentration, to account for the buffering of extravascular fluid by haemoglobin.";https://derangedphysiology.com/main/cicm-primary-exam/required-reading/acid-base-physiology/Chapter%20604/standard-base-excess
66;spo2_vital;Saturation of Peripheral Oxygen.;Healthy adults will generally have 95% – 99% oxygen saturation while any pulse oximeter readings below 89% would typically be cause for concern.;https://www.somatechnology.com/blog/in-the-news/what-is-spo2/
67;tsh_labor;Thyroid-stimulating hormone;The thyroid is a butterfly-shaped gland in the throat. It produces hormones that help regulate many bodily functions, such as metabolism, heart rate, and body temperature.;https://www.medicalnewstoday.com/articles/326774
68;tz_labor;???;???;???
69;temp_vital;Human body temperature ;The typical temperature range found in humans. The normal human body temperature range is typically stated as 36.5–37.5 °C;https://en.wikipedia.org/wiki/Human_body_temperature
70;thrombocyten_labor;Platelets (thrombocytes);Platelets are a component of blood whose function (along with the coagulation factors) is to react to bleeding from blood vessel injury by clumping, thereby initiating a blood clot.;https://en.wikipedia.org/wiki/Platelet
71;triglyceride_labor;Triglycerides;Triglycerides are the most commonTrusted Source form of fat in the body. Your body stores and uses this type of fat for energy between meals. If triglyceride levels in your blood are elevated, it could mean you’re at high risk for some health conditions.;https://www.healthline.com/health/triglycerides
72;troponin_labor;Troponins;Troponins are proteins found in the cardiac muscles. When the heart is damaged, it releases troponin into the bloodstream.;https://www.healthline.com/health/troponin-levels
73;aptt_labor;Activated Partial Thromboplastin Time;This is a measurement of how effective and timely the blood’s clotting process happens to be. It is typically ordered as a first option blood test when a patient presents with unexplained or uncontrolled bleeding so hemostasis can be properly evaluated.;https://healthresearchfunding.org/aptt-blood-test-results-explained/
74;diast_nbd_vital;???;???;???
75;diast_vital;Diastolic blood pressure;The diastolic reading, is the pressure in the arteries when the heart rests between beats. This is the time when the heart fills with blood and gets oxygen.;https://www.webmd.com/hypertension-high-blood-pressure/guide/diastolic-and-systolic-blood-pressure-know-your-numbers
76;ft3_labor;Free Triiodothyronine ;Triiodothyronine or T3 is a hormone secreted by the thyroid glands and is important for the metabolism of your body including the heart rate and temperature.;https://factdr.com/diagnostics/blood-tests/free-triiodothyronine-ft3/
77;ft4_labor;Thyroxine free;Thyroxine (sometime called T4) is a hormone produced by the thyroid gland. The term “free thyroxine” means measured thyroxine that is not bound to proteins in the blood. ;https://healthmatters.io/understand-blood-test-results/free-thyroxine
78;mittl_nbd_vital;???;???;???
79;mittl_vital;???;???;???
80;ph_bga;pH of the blood;Identifying imbalances in your pH and blood gas levels can also help your doctor monitor treatment for certain conditions, such as lung and kidney diseases.;https://www.healthline.com/health/blood-gases#purpose
81;pankreasspez_labor;???;???;???
82;so2_bga;???;???;???
83;syst_nbd_vital;???;???;???
84;syst_vital;Diastolic blood pressure;When your heart beats, it squeezes and pushes blood through your arteries to the rest of your body. This force creates pressure on those blood vessels, and that's your systolic blood pressure.;https://www.webmd.com/hypertension-high-blood-pressure/guide/diastolic-and-systolic-blood-pressure-know-your-numbers
